POINT_ID;POINT_NOM;POINT_LATITUDE;POINT_LONGITUDE;POINT_ALTITUDE;POINT_TYPE;POINT_DEPARTEMENT;POINT_ORIENTATION;POINT_PRATIQUE;SITE_ID;SITE_CP;SITE_COMMUNE;SITE_STRUCTURE_NOM;SITE_STRUCTURE_URL;SITE_URL
01D002A;LA TABLE D'ORIENTATION;45.7849;5.59182;1025;Décollage;01;E;DP;01002;01680;INNIMOND;Ailes Du Bugey;http://federation.ffvl.fr/structure/;http://federation.ffvl.fr/structure/%252Fsites/01002;Décollage : à Innimond suivre la direction "Table d'orientation - parapente parcours de santé". Le décollage est au terminus de cette route.  La route d'accès au décollage n'est pas déneigée en hiver. \nAtterrissage : à St Germain Les Paroisses, au carrefour D41 D41A suivre CONTREVOZ. A 100 m l'atterrissage se trouve à hauteur de la scierie de l'autre côté du ruisseau. Merci de respecter les zones de parking au décollage et à l'atterrissage. Circulation en véhicule interdite sur le terrain d'atterrissage.;Décollage très court nécessitant obligatoirement du vent de face. Aérologie turbulente par vent de Nord fort. Atterrissage pouvant être très humide - ligne électrique en approche côté relief.
01A002A;ST GERMAIN LES PAROISSES;45.7736;5.61444;375;Atterrissage;01;;DP;01002;01300;ST GERMAIN LES PAROISSES;Ailes Du Bugey;http://federation.ffvl.fr/structure/;http://federation.ffvl.fr/structure/%252Fsites/01002;;
01D003A;MONTAGNE DE PARVES;45.7392;5.72806;602;Décollage;01;SO,OSO,O,ONO,NO;DP;01003;01300;PARVES;Natur'ailes Bugey;http://federation.ffvl.fr/structure/;http://federation.ffvl.fr/structure/%252Fsites/01003;Gestionnaire du site\nhttp://naturailebugey.over-blog.com/pages/Site_de_Parves-4660232.html\n\nCarte IGN 1/25000 : 3231 EST - CD ROM Bayo Explorer Ain 01 partie Est.\nDepuis Belley, prendre en direction du point de vue, panneau et petit parking au bord de la route. Accès pédestre 5 mn.;Par vent fort attention aux rouleaux du plateau situés sous le décollage - ligne à haute tension au Sud du décollage - Décollage court se terminant par une petite falaise - TMA Chambéry 2 - Zone de protection de BIOTOP sur les falaises de Virignin - interdit à moins de 150 m/sol toute l'année.
01A003A;SOUS LES COMBES;45.7494;5.72083;270;Atterrissage;01;N,S;DP;01003;01300;CORON;Natur'ailes Bugey;http://federation.ffvl.fr/structure/;http://federation.ffvl.fr/structure/%252Fsites/01003;Gestionnaire du site :\n\nhttp://naturailebugey.over-blog.com/pages/Site_de_Parves-4660232.html;
01D004A;LA CHARMANTE;46.1383;5.85556;1340;Décollage;01;NO;DPK;01004;01200;LANCRANS;Les Milans Du Cret D'eau;http://federation.ffvl.fr/structure/;http://federation.ffvl.fr/structure/%252Fsites/01004;Carte 3330 O. CD ROM carto explorer Ain 01 partie Est.\nAccès routier règlementé car réserve naturelle.;Danger par vent de secteur E et NE fort et par vent de secteur S fort.\nSite de vol situé sous la TMA de Genève. Respect impératif de la législation aérienne en vigueur. Info sur le site internet : http://www.les-milans.ffvl.fr  et également sur les panneaux sites au décollage et à l'atterrissage.\nSitué à l'intérieur de la réserve naturelle de la Haute Chaine du Jura. Ouverture de la route d'accès du 31 mai jusqu'à la neige ou à default le 16 décembre. Repose au sommet dans les paturages derrière le décollage interdit.
01D004B;BOGES;46.1;5.8167;1050;Décollage;01;O;DP;01004;01200;CONFORT;Les Milans Du Cret D'eau;http://federation.ffvl.fr/structure/;http://federation.ffvl.fr/structure/%252Fsites/01004;Carte 3330 O.\nSuivre le chemin qui passe derrière les maisons et non pas devant.;Sud fort et Nord Est fort. Décollage court.
01A004A;PRES GELES;46.1397;5.82444;550;Atterrissage;01;TOUTES;DP;01004;01200;LANCRANS;Les Milans Du Cret D'eau;http://federation.ffvl.fr/structure/;http://federation.ffvl.fr/structure/%252Fsites/01004;;
01D005A;SUR LE HAUT LAN;46.2147;5.81444;1200;Décollage;01;SSE;DPK;01005;01410;CHAMPFROMIER;Les Milans Du Cret D'eau;http://federation.ffvl.fr/structure/;http://federation.ffvl.fr/structure/%252Fsites/01005;CD ROM Carto Explorer Ain 01 partie Est - Carte 3329 O;Décollage un peu court. Nécessite une finesse importante pour rejoindre l'atterro du village - Dangereux par vent d'Ouest.\nAtterrissage de Conjocle proscrit pendant la période de fenaison - Site situé dans le secteur 4 de la TMA de Genève : 6000ft/1824m AMSL - 1000ft/300 m AGL - Respect impératif de l'espace aérien controlé :http://www.les-milans.ffvl.fr
01A005A;VILLAGE;46.1931;5.815;650;Atterrissage;01;;DPK;01005;01410;CHAMPFROMIER;Les Milans Du Cret D'eau;http://federation.ffvl.fr/structure/;http://federation.ffvl.fr/structure/%252Fsites/01005;;
01A005B;CONJOCLE;46.2061;5.81333;750;Atterrissage;01;;DPK;01005;01410;CHAMPFROMIER;Les Milans Du Cret D'eau;http://federation.ffvl.fr/structure/;http://federation.ffvl.fr/structure/%252Fsites/01005;;
